C_LAST_NAME|C_FIRST_NAME|CA_CITY|BOUGHT_CITY|SS_TICKET_NUMBER|AMT|PROFIT|
 Abbott                        |Frederick           |Green Acres|Oakland|7247|518.63|-13290.67|
 Albright                      |Vincent             |Wildwood|Oakdale|7278|4425.56|-25696.83|
 Allen                         |Marty               |Greenwood|Riverview|1040|308.2|-1547.3|
 Allen                         |Ronald              |Wright|Pleasant Valley|8104|24.26|-1996.98|
 Allen                         |Warren              |Glenwood|Enterprise|6149|5197.72|-13263.97|
 Anderson                      |Dwayne              |Plainview|Newport|4013|0|530.9|
 Anderson                      |Nona                |Acme|Riverside|537|3844.58|-9759.31|
 Anthony                       |Virginia            |Riverview|Marion|4612|1606.75|-15499.87|
 Arnold                        |Brian               |Farmington|White Oak|4488|199.26|-12914.21|
 Austin                        |Alonzo              |Cedar Grove|Pleasant Grove|7567|4404.15|-8878.23|
 Baird                         |Cheryl              |New Hope|Riverview|4428|6652.19|-20098.03|
 Baker                         |Kim                 |Franklin|Springdale|2035|5292.73|-9678.61|
 Barba                         |William             |Providence|Lakeside|113|7860.44|-17630.19|
 Barber                        |Malinda             |Unionville|Smith|5496|653.67|-4222.16|
 Barbour                       |Bradley             |Spring Valley|Marion|3561|3771.62|-15891.04|
 Barraza                       ||Georgetown|Cedar Grove|1251|329.25|-11840.14|
 Beck                          |Robert              |Gladstone|Oakwood|6266|4295.31|-17145.86|
 Beck                          |Robyn               |Lakeside|Belmont|6620|0|-1406.1|
 Bell                          |Rhonda              |Waterloo|Jamestown|7576|1550.95|-12998.99|
 Bernal                        |Nilda               |Fairfield|White Oak|1849|940.21|-13663.57|
 Berry                         |Angela              |Woodland|Oakwood|7179|9366.03|-19090.04|
 Blackmon                      |Lois                |Macedonia|Pierce|9567|3107.83|-14759.88|
 Blake                         |Matthew             |Friendship|Wilson|8995|4904.25|-12966.92|
 Bowen                         |Tanya               |Cedar Grove|Jamestown|8046|2184.43|-18511.86|
 Boyd                          |Wayne               |Mount Zion|Peru|6986|603.17|-13404.34|
 Brady                         |Andrew              |Hopewell|Riverview|5597|1135.72|1420.17|
 Briggs                        |Herman              |Oakdale|Belmont|4290|1716.32|-7703.33|
 Britt                         |Inez                |Appleton|Shiloh|61|24.99|-8704|
 Brown                         |Ann                 |Riverside|Sulphur Springs|1294|0|-349.24|
 Brown                         |Charles             |Wilson|Newtown|57|446.84|-10463.3|
 Brown                         |Henry               |Concord|Spring Hill|3596|9821.05|-23811.33|
 Brown                         |Robert              |Mount Vernon|Sunnyside|8985|169.15|-2675.63|
 Brown                         |Roland              |Sunnyside|Spring Valley|2604|0|-2707.95|
 Bryan                         |Barbara             |Lincoln|Valley View|3078|37.06|-5384.61|
 Bryan                         |John                |Frankfort|Lakewood|2988|176.06|-18695.21|
 Bryan                         |Rodger              |Harmony|Newport|2870|694.44|2460.24|
 Buchanan                      |Essie               |Woodlawn|Waterloo|5207|136.01|-11024.23|
 Burchett                      |Roy                 |Adrian|Pine Grove|3749|778.95|-2894.29|
 Burney                        |Andrew              |Lakeview|Oak Hill|1846|196.05|-12250.41|
 Burns                         |Roderick            |Waterville|Mount Zion|2739|76.36|-9434.67|
 Burns                         |Ryan                |Green Acres|Antioch|7900|1095.64|-3405.06|
 Burrows                       |Peggy               |Mount Olive|Pleasant Grove|7909|294.67|-6547.65|
 Burton                        |David               |Highland|Morris|1572|5899.95|-12509.56|
 Burton                        |Michael             |Valley View|Woodlawn|4604|1200.18|-18563.35|
 Buxton                        |Roland              |Jamestown|Hillcrest|4475|2532.53|-9441.07|
