C_LAST_NAME|C_FIRST_NAME|CA_CITY|BOUGHT_CITY|SS_TICKET_NUMBER|EXTENDED_PRICE|EXTENDED_TAX|LIST_PRICE|
 Beltran                       |Angela              |Newport|Centerville|6429|37241.08|1888.43|68719.34|
 Bliss                         |Heidi               |Dallas|Greenfield|2013|14523|522.1|43001.1|
 Breeden                       |April               |Clearview|Florence|1574|7691.88|91.58|16508.84|
 Britt                         |Inez                |Appleton|Shiloh|61|10161.88|276.81|25080.96|
 Brower                        |Richard             |Pomona|Union|7718|6471.94|231.31|13344.18|
 Campbell                      |Rocco               |Lincoln|Oak Hill|1347|39883.83|1540.86|66458.59|
 Chaffin                       |Dorothy             |Mount Olive|Walnut Grove|9050|11395.93|168.13|54180.88|
 Choi                          |Margaret            |Lakeside|Warwick|9669|20198.34|1104.75|45202.7|
 Clark                         |Evelyn              |Hopewell|Summit|2102|28488.78|1333.1|46388.25|
 Clarke                        |Cathy               |Oak Ridge|Avery|8451|34549.16|1227.22|55889.74|
 Cole                          |Ellen               |Lakewood|New Hope|4613|23516.68|732.2|63621.63|
 Cook                          |William             |Providence|Highland|3664|25003.43|1250.89|48765.06|
 Coulter                       |Earl                |Lakewood|Mount Vernon|8798|10116.53|460.56|25106.14|
 Decker                        |Timothy             |Oak Grove|Five Points|6664|31125.22|1933.36|53414.54|
 Delgado                       |Tina                |Pleasant Hill|Oakdale|7514|18400.13|752.66|28107.05|
 Dietrich                      |Saundra             |Martinsville|Brookwood|1289|30098.22|1258.71|72642.54|
 Ellis                         |Janet               |Clinton|Highland Park|9536|19013.62|785.13|41983.42|
 Fenton                        ||Edgewater|Vienna|2352|22546.58|1626.86|44868.62|
 Foster                        |Brett               |Mount Vernon|Wyoming|8102|10769.32|642.83|20677.62|
 Gilmore                       |William             |Leland|Collinsville|4969|9906.99|211.87|27083.41|
 Gonzalez                      |Diane               |Pine Grove|Marion|4418|24520.81|680.54|44731.88|
 Guerra                        |Rachel              |Wilson|Greenfield|435|31900.7|1058.97|43120.31|
 Hadden                        |Doria               |Mount Pleasant|Riverdale|4001|14498.24|966.98|46497.03|
 Hale                          |Oscar               |Woodland|Superior|858|46956.27|1527.13|76708.16|
 Harris                        |Chase               |Buena Vista|Woodville|8622|27194.96|1264.46|55859.57|
 Hartley                       |Claude              |Mount Olive|Valley View|7406|6814.02|325.55|10392.47|
