C_LAST_NAME|C_FIRST_NAME|SUBSTR(S_CITY,1,30)|SS_TICKET_NUMBER|AMT|PROFIT|
 Aguilar                       |Roxane              |Midway|6855|2276.72|-8075.22|
 Ahern                         |Christine           |Midway|872|2513.29|-18806.37|
 Allen                         |Florence            |Midway|6542|5405.58|-10287.74|
 Allen                         |Teresita            |Midway|2008|628.35|-5026.6|
 Allen                         |Teresita            |Midway|2008|447.93|-2761.02|
 Ames                          |Perry               |Fairview|5862|3975.41|-1347.02|
 Anderson                      |Eleanor             |Fairview|8833|459.27|2581.81|
 Aviles                        |Jeremy              |Fairview|576|2066.9|-5678.62|
 Ayers                         |Ella                |Midway|3297|2740.06|-18629.23|
 Baker                         |Betty               |Midway|5433|2.69|-19096.72|
 Baldwin                       |Nancy               |Midway|7342|165.3|-1971.74|
 Ball                          |Joseph              |Midway|6540|111.56|-16032.31|
 Banda                         |Kevin               |Midway|7205|819.8|-4959.74|
 Barker                        |Aaron               |Midway|3136|6258.85|-7862.41|
 Barnes                        |David               |Fairview|5942|486.6|-17785.15|
 Bartlett                      ||Midway|3988|4828.2|-16064.92|
 Baskin                        |Vida                |Fairview|8300|2250.92|-8707.7|
 Beasley                       |Kristy              |Midway|62|6026.87|-10441.95|
 Benjamin                      ||Midway|2308|32.7|-10588.31|
 Betz                          |Annie               |Fairview|1266|13.94|-580.15|
 Bishop                        |Eric                |Midway|4643|2207.98|-10938.56|
 Blalock                       |Eric                |Midway|7435|748.57|-23425.54|
 Boles                         |George              |Midway|3642|705.46|-3077.59|
 Bowers                        |Ted                 |Midway|5255|3495.56|-3276.76|
 Bravo                         |Arthur              |Midway|8417|639.35|-13728.24|
 Breeden                       |April               |Fairview|1574|8.71|-3718.25|
 Brookins                      ||Midway|4070|3008.47|-10010.09|
 Brooks                        |Celeste             |Midway|3465|4833.35|-17772.62|
 Brooks                        |Jeannie             |Fairview|7310|1083.55|-7109.82|
 Brooks                        |Rebecca             |Midway|5904|2277.2|-6341.5|
 Brown                         |Greg                |Midway|821|0|-13930.23|
 Brown                         |Javier              |Midway|9453|3601.54|-4390.94|
 Browning                      |Margie              |Midway|4101|0|-7642.36|
 Buck                          |John                |Fairview|1278|202.31|-15447.44|
 Buckner                       |Demetrice           |Midway|3855|472.69|-19496.15|
 Bueno                         ||Fairview|1563|3118.81|-7490.53|
 Burns                         |Roderick            |Midway|4247|6015.59|-12074.98|
 Burr                          |Gary                |Midway|1017|625|-7494.6|
 Butts                         |Ronnie              |Fairview|8766|538.48|-2664.28|
 Campbell                      |Charles             |Midway|2719|8178.17|-9860|
 Campbell                      |Jarrett             |Midway|3974|2704.48|-17834.99|
 Capps                         |Clarice             |Midway|8630|0|-2584.34|
 Carrier                       |Robert              |Midway|2528|9209.31|-7806.34|
 Cathey                        |Melina              |Fairview|3107|0|-3593.35|
 Chavez                        |Monica              |Midway|9502|221.62|-7810.05|
 Chavez                        |Roland              |Midway|2618|1528.07|-7535.24|
 Christman                     |Jean                |Midway|7726|5435.94|-5778.81|
 Clark                         |Geneva              |Fairview|2466|26.74|1705.49|
 Clarke                        |Thomas              |Midway|221|6359.95|-7921.07|
 Clay                          |Nellie              |Midway|5828|0|140.68|
 Coats                         |Joseph              |Midway|6631|316.49|-310.31|
 Coffey                        |Karen               |Midway|8095|3101.26|-10154.98|
 Cole                          |Thuy                |Fairview|6166|3166.18|-3357.66|
 Coleman                       |Angela              |Midway|1089|4657.57|-7225.62|
 Coleman                       |Leroy               |Midway|9249|1587.3|-3600.92|
 Conger                        |William             |Midway|5172|6796.41|-5234.16|
 Contreras                     |Barbara             |Midway|5469|1687.06|-3263.53|
 Contreras                     |Barbara             |Midway|5469|||
 Cook                          |Alton               |Midway|3932|886.95|-13004.8|
 Cook                          |Brenda              |Midway|6981|3567.55|-1826.02|
 Cordova                       |Paul                |Midway|3867|1861.68|-8792.1|
 Crabtree                      |Jose                |Midway|4593|0|-2984.8|
 Crawford                      |Casey               |Midway|5934|2789.27|-13373.87|
 Crawford                      |Joseph              |Midway|4283|0|-12667.63|
 Creech                        |Nancy               |Midway|1411|0|-17016.07|
 David                         |Joyce               |Midway|3824|3610.7|-11101.89|
 Davis                         |Michael             |Fairview|9251|4101.15|-5186.68|
 Dawkins                       |Jane                |Fairview|187|319.98|2546.39|
 Dawson                        |Steve               |Fairview|6494|1709.08|-6723.68|
 Dewey                         |Jeffery             |Fairview|7535|3830.01|-9526.55|
 Diaz                          |Marcia              |Midway|3947|1878.89|-7075.32|
 Dodge                         |Chastity            |Midway|3873|983.55|3020.42|
 Dutton                        |Randall             |Midway|2621|2428.42|-4523.12|
 Escalante                     |Jeremy              |Fairview|313|92.88|-1384.59|
 Estrada                       |William             |Midway|4193|0|-1443.71|
 Evans                         |Daniel              |Midway|8542|2268.2|-8578.05|
 Fennell                       |Dorothy             |Midway|8566|6.91|-19182.1|
 Fenton                        |Brandon             |Midway|5236|4639.02|-11694.32|
 Ferguson                      |Debra               |Midway|7789|3369.65|-10921.47|
 Fitzpatrick                   |Margaret            |Midway|9309|986.24|-5198.61|
 Flournoy                      ||Midway|5297|251.43|-3145.2|
 Fortier                       |Susanna             |Midway|979|5324.88|-20299.73|
 Fraser                        |Marc                |Fairview|6730|1864.32|-1738.3|
 Freeman                       |James               |Midway|6973|170.61|-4223.73|
 French                        |Jeffrey             |Midway|3615|2181.76|-10633.03|
 French                        |Jeffrey             |Midway|3615|53.15||
 Friday                        |Thomas              |Midway|4636|385.21|-7438.65|
 Friday                        |Thomas              |Midway|4636|0||
 Gaines                        |Iona                |Midway|5470|0|-2173.38|
 Gaines                        |Iona                |Midway|5470|||
 Gaines                        |Norman              |Midway|2864|838.5|-18955.09|
 Gilman                        |Joseph              |Midway|9618|0|-7132.06|
 Gilmore                       |Steven              |Fairview|6236|457.91|-871.41|
 Gonzales                      |Ray                 |Fairview|1152|60.78|-6788.81|
 Gould                         |Dean                |Midway|3524|598.17|-20723.14|
 Graham                        |Andrew              |Midway|4054|3449.41|-5919.97|
 Green                         |James               |Fairview|6851|2681.64|-17786.6|
 Griffin                       |Alicia              |Midway|7035|611.65|-5952.11|
 Groves                        |Katie               |Midway|6190|4610.75|-11385.04|
 Hammond                       |John                |Midway|798|10900.96|-30256.79|
